country,code,region
Armenia,ARM,Central Asia
Azerbaijan,AZE,Central Asia
Georgia,GEO,Central Asia
Kazakhstan,KAZ,Central Asia
Kyrgyz Republic,KGZ,Central Asia
Tajikistan,TJK,Central Asia
Turkmenistan,TKM,Central Asia
Uzbekistan,UZB,Central Asia
"Hong Kong, China",HKG,East Asia
Mongolia,MNG,East Asia
People's Republic of China,CHN,East Asia
Republic of Korea,KOR,East Asia
"Taipei,China",TWN,East Asia
Afghanistan,AFG,South Asia
Bangladesh,BGD,South Asia
Bhutan,BTN,South Asia
India,IND,South Asia
Maldives,MDV,South Asia
Nepal,NPL,South Asia
Pakistan,PAK,South Asia
Sri Lanka,LKA,South Asia
Brunei Darussalam,BRN,Southeast Asia
Cambodia,KHM,Southeast Asia
Indonesia,IDN,Southeast Asia
Lao People’s Dem. Rep.,LAO,Southeast Asia
Malaysia,MYS,Southeast Asia
Myanmar,MMR,Southeast Asia
Philippines,PHL,Southeast Asia
Singapore,SGP,Southeast Asia
Thailand,THA,Southeast Asia
Timor-Leste,TLS,Southeast Asia
Viet Nam,VNM,Southeast Asia
Cook Islands,COK,The Pacific
Federated States of Micronesia,FSM,The Pacific
Fiji,FJI,The Pacific
Kiribati,KIR,The Pacific
Marshall Islands,MHL,The Pacific
Nauru,NRU,The Pacific
Niue,NIU,The Pacific
Palau,PLW,The Pacific
Papua New Guinea,PNG,The Pacific
Samoa,WSM,The Pacific
Solomon Islands,SLB,The Pacific
Tonga,TON,The Pacific
Tuvalu,TUV,The Pacific
Vanuatu,VUT,The Pacific
