code,region,totdec_3months,totdec_6months
ARM,Central Asia,-5.558752976,-8.045890851
AZE,Central Asia,-3.36872242,-4.87598082
GEO,Central Asia,-11.16886521,-16.16612066
KAZ,Central Asia,-0.822859201,-1.191051102
KGZ,Central Asia,-2.512521827,-3.636707138
TJK,Central Asia,-1.269321305,-1.837250052
TKM,Central Asia,0,0
UZB,Central Asia,-1.453858713,-2.104354773
CHN,East Asia,-0.126137774,-0.182575122
HKG,East Asia,-4.241727005,-6.139586854
KOR,East Asia,-0.5327644,-0.771136134
MNG,East Asia,-1.530064846,-2.214535207
TWN,East Asia,-1.65776477,-2.399498725
BRN,Southeast Asia,-0.613563083,-0.887954149
KHM,Southeast Asia,-9.269203595,-13.41662903
IDN,Southeast Asia,-0.7341196,-1.062586045
LAO,Southeast Asia,-1.920808096,-2.780105654
MYS,Southeast Asia,-2.659974178,-3.850104764
MMR,Southeast Asia,-1.310278909,-1.896533424
PHL,Southeast Asia,-1.306631279,-1.891246617
SGP,Southeast Asia,-1.567220768,-2.268433228
THA,Southeast Asia,-6.241182559,-9.03366254
TLS,Southeast Asia,-1.688589712,-2.444110827
VNM,Southeast Asia,-1.393615401,-2.01715481
AFG,South Asia,-0.144175544,-0.208731757
BGD,South Asia,-0.069571085,-0.100694657
BTN,South Asia,-2.124324215,-3.076629757
IND,South Asia,-0.52234757,-0.756058559
MDV,South Asia,-23.3048599,-33.73224257
NPL,South Asia,-1.453882422,-2.104447163
PAK,South Asia,-0.148425202,-0.214874448
LKA,South Asia,-3.241363978,-4.691728355
COK,The Pacific,-22.33333333,-32.33333333
FJI,The Pacific,-10.11817079,-14.64523661
FSM,The Pacific,-4.410833333,-6.385833333
KIR,The Pacific,-1.456415114,-2.10805489
MHL,The Pacific,-5.075458953,-7.346358261
NRU,The Pacific,-0.711091276,-1.029490354
PLW,The Pacific,-20.9386462,-30.30716961
PNG,The Pacific,-0.038867683,-0.056258142
SLB,The Pacific,-3.683339548,-5.33136623
TON,The Pacific,-5.963280941,-8.633406735
TUV,The Pacific,-1.671547626,-2.420001787
VUT,The Pacific,-19.86148009,-28.74805077
WSM,The Pacific,-13.02741483,-18.85623754
