code,region,totdec_better,totdec_base,totdec_worse
ARM,Central Asia,-9.063130915,-11.55026893,-14.03740694
AZE,Central Asia,-5.49244961,-6.99970801,-8.50696641
GEO,Central Asia,-18.20999886,-23.20725431,-28.20450976
KAZ,Central Asia,-1.372170731,-1.748726969,-2.125283068
KGZ,Central Asia,-4.637664794,-5.910349863,-7.183035037
TJK,Central Asia,-2.069533166,-2.637462136,-3.205391106
TKM,Central Asia,0,0,0
UZB,Central Asia,-2.370407642,-3.020903702,-3.671399762
CHN,East Asia,-0.213135019,-0.271624323,-0.330113626
HKG,East Asia,-7.496181276,-9.553310915,-11.61044095
KOR,East Asia,-0.956552668,-1.219053415,-1.481554162
MNG,East Asia,-2.621307037,-3.345005934,-4.068784831
TWN,East Asia,-3.622678857,-4.641182633,-5.660125705
BRN,Southeast Asia,-0.996838066,-1.27439088,-1.552007219
KHM,Southeast Asia,-16.67067726,-21.30612919,-25.9422165
IDN,Southeast Asia,-1.16974316,-1.490748427,-1.811753684
LAO,Southeast Asia,-3.571029632,-4.560918862,-5.550963548
MYS,Southeast Asia,-4.505807024,-5.74230738,-6.978807695
MMR,Southeast Asia,-2.136311452,-2.722565967,-3.308820481
PHL,Southeast Asia,-2.095766112,-2.670894023,-3.246021935
SGP,Southeast Asia,-3.671720938,-4.679328197,-5.686935438
THA,Southeast Asia,-10.20982847,-13.01164752,-15.81346657
TLS,Southeast Asia,-2.753118946,-3.508640062,-4.264161178
VNM,Southeast Asia,-2.531678641,-3.226431308,-3.921183911
AFG,South Asia,-0.235242842,-0.299540831,-0.364097045
BGD,South Asia,-0.116764135,-0.148806981,-0.180849831
BTN,South Asia,-3.635290366,-4.651387941,-5.667637973
IND,South Asia,-0.703011401,-0.895934418,-1.088857417
MDV,South Asia,-37.86084349,-48.25075636,-58.64066937
NPL,South Asia,-2.289254788,-2.917480615,-3.545706442
PAK,South Asia,-0.241612662,-0.307651685,-0.373955931
LKA,South Asia,-5.34399004,-6.810507707,-8.27702526
COK,The Pacific,-36.44,-46.4,-56.4
FJI,The Pacific,-18.09717157,-23.10316405,-28.10962032
FSM,The Pacific,-7.1969,-9.164,-11.139
KIR,The Pacific,-2.374575528,-3.026215355,-3.677855182
MHL,The Pacific,-8.275156138,-10.54605519,-12.81695424
NRU,The Pacific,-1.160246242,-1.477371724,-1.795770803
PLW,The Pacific,-34.1388944,-43.50741646,-52.87593852
PNG,The Pacific,-0.063370837,-0.080761298,-0.098151758
SLB,The Pacific,-6.005409231,-7.653435913,-9.301462595
TON,The Pacific,-9.729938394,-12.38938369,-15.05950948
TUV,The Pacific,-2.727366962,-3.472827307,-4.221281468
VUT,The Pacific,-32.3826575,-41.26922652,-50.15579554
WSM,The Pacific,-21.2402245,-27.06904572,-32.89786693
